,ent,c,most_freq
4,0.469,e_0_4,1.0
6,0.469,e_0_6,1.0
16,0.722,e_3_4,1.0
3,0.722,e_0_3,1.0
15,0.722,e_2_6,0.0
9,0.722,e_1_4,1.0
10,0.722,e_1_5,0.0
14,0.881,e_2_5,1.0
21,0.881,e_5_6,1.0
13,0.881,e_2_4,0.0
7,0.881,e_1_2,0.0
11,0.881,e_1_6,0.0
12,0.971,e_2_3,1.0
1,0.971,e_0_1,0.0
17,0.971,e_3_5,1.0
19,0.971,e_4_5,0.0
20,1.0,e_4_6,0.0
0,1.0,metric,93.95031929016113
8,1.0,e_1_3,0.0
5,1.0,e_0_5,0.0
2,1.0,e_0_2,0.0
25,1.157,o_4,1.0
26,1.295,o_5,1.0
24,1.485,o_3,1.0
22,1.522,o_1,1.0
23,1.571,o_2,0.0
18,,e_3_6,0.0
