+-------------------------------------+----------------------------------------------------------------------+
|               Package               |                               License                                |
+-------------------------------------+----------------------------------------------------------------------+
|           about-time 4.2.1          |                                 MIT                                  |
|         alive-progress 3.1.5        |                                 MIT                                  |
|            appdirs 1.4.4            |                                 MIT                                  |
|               arff 0.9              |                               UNKNOWN                                |
|          argon2-cffi 23.1.0         |                         (Licence not found)                          |
|     argon2-cffi-bindings 21.2.0     |                                 MIT                                  |
|            argparse 1.4.0           |                  Python Software Foundation License                  |
|             astor 0.8.1             |                             BSD-3-Clause                             |
|           asttokens 2.4.1           |                              Apache 2.0                              |
|             attrs 23.2.0            |                         (Licence not found)                          |
|            autograd 1.6.2           |                                 MIT                                  |
|         autograd-gamma 0.5.0        |                             MIT License                              |
|        beautifulsoup4 4.12.2        |                         (Licence not found)                          |
|            blessed 1.20.0           |                                 MIT                                  |
|             boto3 1.29.2            |                          Apache License 2.0                          |
|           botocore 1.32.2           |                          Apache License 2.0                          |
|             build 1.0.3             |                         (Licence not found)                          |
|            cattrs 23.2.3            |                                 MIT                                  |
|          certifi 2023.7.22          |                               MPL-2.0                                |
|             cffi 1.16.0             |                                 MIT                                  |
|       charset-normalizer 3.3.2      |                                 MIT                                  |
|             click 8.1.7             |                             BSD-3-Clause                             |
|          cloudpickle 2.2.1          |                         BSD 3-Clause License                         |
|              cma 3.2.2              |                                 BSD                                  |
|            colorama 0.4.6           |                         (Licence not found)                          |
|              comm 0.2.0             |                         BSD 3-Clause License                         |
|          ConfigSpace 0.7.1          |                            # ConfigSpace                             |
|          contextlib2 21.6.0         |                             PSF License                              |
|           contourpy 1.2.0           |                         BSD 3-Clause License                         |
|            cycler 0.12.1            |                Copyright (c) 2015, matplotlib project                |
|            Cython 3.0.10            |                         (Licence not found)                          |
|            dask 2023.12.1           |                             BSD-3-Clause                             |
|         dask-jobqueue 0.8.2         |                             BSD 3-Clause                             |
|           dataclasses 0.6           |                                Apache                                |
|         debtcollector 2.5.0         |                               UNKNOWN                                |
|            debugpy 1.8.1            |                                 MIT                                  |
|           decorator 5.1.1           |                           new BSD License                            |
|          Deprecated 1.2.14          |                                 MIT                                  |
|              dill 0.3.7             |                             BSD-3-Clause                             |
|        distributed 2023.12.1        |                             BSD-3-Clause                             |
|             emcee 3.1.0             |                                 MIT                                  |
|              ete3 3.1.3             |                                GPLv3                                 |
